category,label,term_count,glossary_count,glossary_file,terms_file,target_language
01_character,角色与卡牌,19972,34029,01_character/01_character_glossary.csv,01_character/01_character_terms.csv,ja-JP
02_skill,技能与战斗效果,9056,15011,02_skill/02_skill_glossary.csv,02_skill/02_skill_terms.csv,ja-JP
03_talent,天赋与觉醒,2536,4166,03_talent/03_talent_glossary.csv,03_talent/03_talent_terms.csv,ja-JP
04_equipment,装备与专属武器,6368,2193,04_equipment/04_equipment_glossary.csv,04_equipment/04_equipment_terms.csv,ja-JP
05_item,道具与材料,4631,12923,05_item/05_item_glossary.csv,05_item/05_item_terms.csv,ja-JP
06_enemy,敌人与BOSS,27,124,06_enemy/06_enemy_glossary.csv,06_enemy/06_enemy_terms.csv,ja-JP
07_stage,关卡与章节,7143,20903,07_stage/07_stage_glossary.csv,07_stage/07_stage_terms.csv,ja-JP
08_event,活动玩法,17291,21472,08_event/08_event_glossary.csv,08_event/08_event_terms.csv,ja-JP
09_gacha,抽卡与兑换,53,140,09_gacha/09_gacha_glossary.csv,09_gacha/09_gacha_terms.csv,ja-JP
10_shop,商店与礼包,4564,1685,10_shop/10_shop_glossary.csv,10_shop/10_shop_terms.csv,ja-JP
11_homeland,家园与猫咖,8913,25286,11_homeland/11_homeland_glossary.csv,11_homeland/11_homeland_terms.csv,ja-JP
12_system,系统与任务,6016,18764,12_system/12_system_glossary.csv,12_system/12_system_terms.csv,ja-JP
13_ui,UI与界面文本,9912,29071,13_ui/13_ui_glossary.csv,13_ui/13_ui_terms.csv,ja-JP
14_story,剧情专有名词,3056,5427,14_story/14_story_glossary.csv,14_story/14_story_terms.csv,ja-JP
15_location,地点与区域,449,1614,15_location/15_location_glossary.csv,15_location/15_location_terms.csv,ja-JP
16_terminology,游戏机制术语,1634,4111,16_terminology/16_terminology_glossary.csv,16_terminology/16_terminology_terms.csv,ja-JP
TOTAL,,101621,196919,,,ja-JP
