category,label,term_count,glossary_count,glossary_file,terms_file,target_language
01_character,角色与卡牌,19983,33652,01_character/01_character_glossary.csv,01_character/01_character_terms.csv,zh-CN
02_skill,技能与战斗效果,9228,15059,02_skill/02_skill_glossary.csv,02_skill/02_skill_terms.csv,zh-CN
03_talent,天赋与觉醒,2536,4169,03_talent/03_talent_glossary.csv,03_talent/03_talent_terms.csv,zh-CN
04_equipment,装备与专属武器,6388,2197,04_equipment/04_equipment_glossary.csv,04_equipment/04_equipment_terms.csv,zh-CN
05_item,道具与材料,4650,13090,05_item/05_item_glossary.csv,05_item/05_item_terms.csv,zh-CN
06_enemy,敌人与BOSS,27,124,06_enemy/06_enemy_glossary.csv,06_enemy/06_enemy_terms.csv,zh-CN
07_stage,关卡与章节,7278,20995,07_stage/07_stage_glossary.csv,07_stage/07_stage_terms.csv,zh-CN
08_event,活动玩法,17339,21613,08_event/08_event_glossary.csv,08_event/08_event_terms.csv,zh-CN
09_gacha,抽卡与兑换,53,140,09_gacha/09_gacha_glossary.csv,09_gacha/09_gacha_terms.csv,zh-CN
10_shop,商店与礼包,4589,1688,10_shop/10_shop_glossary.csv,10_shop/10_shop_terms.csv,zh-CN
11_homeland,家园与猫咖,8913,25223,11_homeland/11_homeland_glossary.csv,11_homeland/11_homeland_terms.csv,zh-CN
12_system,系统与任务,6041,18849,12_system/12_system_glossary.csv,12_system/12_system_terms.csv,zh-CN
13_ui,UI与界面文本,9923,28822,13_ui/13_ui_glossary.csv,13_ui/13_ui_terms.csv,zh-CN
14_story,剧情专有名词,3180,5480,14_story/14_story_glossary.csv,14_story/14_story_terms.csv,zh-CN
15_location,地点与区域,449,1649,15_location/15_location_glossary.csv,15_location/15_location_terms.csv,zh-CN
16_terminology,游戏机制术语,1636,4120,16_terminology/16_terminology_glossary.csv,16_terminology/16_terminology_terms.csv,zh-CN
TOTAL,,102213,196870,,,zh-CN
